Date;Broker;Stock Exchange;Ticker;Operation;Quantity;Unit Price
24/11/2019;XP;B3;VALE3;Compra;100;49,90
17/05/2020;XP;B3;VALE3;Compra;100;50,40
22/09/2019;XP;B3;TAEE11;Compra;100;28,30
02/02/2020;XP;B3;TAEE11;Compra;200;30,53
03/11/2019;XP;B3;CYRE3;Compra;100;27,54
14/06/2020;XP;B3;CYRE3;Compra;100;22,77
29/09/2019;XP;B3;ITUB4;Compra;200;33,45
26/01/2020;XP;B3;ITUB4;Compra;200;32,82
30/08/2020;XP;B3;PETR4;Compra;300;22,92
19/01/2020;XP;B3;GGBR4;Compra;300;21,67
29/11/2020;XP;B3;GGBR4;Compra;300;22,94
16/11/2020;Avenue;Nasdaq;AAPL;Compra;10;120,10
